similitud; oración1; oración2
neutral; Una persona en un caballo salta sobre un avión averiado.; Una persona está entrenando a su caballo para una competencia.
contradicción; Una persona en un caballo salta sobre un avión averiado.; Una persona está en un restaurante, pidiendo una tortilla.
vinculación; Una persona en un caballo salta sobre un avión averiado.; Una persona está al aire libre, en un caballo.
neutral; los niños sonríen y saludan a la cámara; sonríen a sus padres
vinculación; Niños sonriendo y saludando a la cámara; Hay niños presentes
contradicción; Los niños sonríen y saludan a la cámara; Los niños fruncen el ceño
contradicción; Un niño está saltando en patineta en medio de un puente rojo.; El niño patina por la acera.
vinculación; Un niño está saltando en patineta en medio de un puente rojo.; El niño hace un truco de skate.
neutral; Un niño está saltando en patineta en medio de un puente rojo.; El niño está usando equipo de seguridad.
neutral; Un hombre mayor se sienta con su jugo de naranja en una mesita en una cafetería mientras los empleados con camisas de colores brillantes sonríen al fondo.; Un hombre mayor bebe su jugo mientras espera que su hija salga del trabajo.
contradicción; Un hombre mayor se sienta con su jugo de naranja en una mesa pequeña en una cafetería mientras los empleados con camisas de colores brillantes sonríen al fondo.; Un niño voltea una hamburguesa.
neutral; Un hombre mayor se sienta con su jugo de naranja en una pequeña mesa en una cafetería mientras los empleados con camisas de colores brillantes sonríen al fondo.; Un anciano se sienta en una pequeña tienda.
neutral; Dos mujeres rubias se abrazan.; Algunas mujeres se abrazan de vacaciones.
contradicción; dos rubias se abrazan; las mujeres duermen.
vinculación; Dos rubias se abrazan.; Hay mujeres mostrando cariño.
neutral; Algunas personas en un ambiente de restaurante, una de ellas está bebiendo jugo de naranja.; La gente está comiendo tortillas.
contradicción; Algunas personas en un ambiente de restaurante, una de ellas está bebiendo jugo de naranja.; La gente está sentada en los escritorios de la escuela.
vinculación; Algunas personas en un ambiente de restaurante, una de ellas está bebiendo jugo de naranja.; Los comensales están en un restaurante.
vinculación; Un hombre mayor está bebiendo jugo de naranja en un restaurante.; Un hombre está bebiendo jugo.
contradicción; Un hombre mayor está bebiendo jugo de naranja en un restaurante.; Dos mujeres están en un restaurante bebiendo vino.
neutral; Un hombre mayor está bebiendo jugo de naranja en un restaurante.; Un hombre en un restaurante está esperando que llegue su comida.
neutral; Un hombre de cabello rubio y camisa marrón bebiendo de una fuente de agua pública.; Un hombre rubio tomando un trago de agua de una fuente en el parque.
contradicción; Un hombre con cabello rubio y una camisa marrón bebiendo de una fuente de agua pública.; Un hombre rubio con una camisa marrón está leyendo un libro en un banco en el parque
vinculación; Un hombre de cabello rubio y camisa marrón bebiendo de una fuente de agua pública.; Un hombre rubio bebiendo agua de una fuente.
contradicción; Dos mujeres que acaban de almorzar abrazándose y despidiéndose.; Los amigos se miran con el ceño fruncido en una mesa llena.
vinculación; Dos mujeres que acaban de almorzar abrazándose y despidiéndose.; Hay dos mujeres en esta imagen.
neutral; Dos mujeres que acaban de almorzar abrazándose y despidiéndose.; Las amigas se acaban de conocer por primera vez en 20 años, y la han pasado muy bien poniéndose al día.
